identifier	fold
MSnID0000008	train
MSnID0000018	train
MSnID0000022	train
MSnID0000024	train
MSnID0000034	train
MSnID0000038	train
MSnID0000046	train
MSnID0000047	train
MSnID0000079	train
MSnID0000097	train
MSnID0000136	train
MSnID0000137	train
MSnID0000141	train
MSnID0000143	train
MSnID0000146	train
MSnID0000147	train
MSnID0000159	train
MSnID0000160	train
MSnID0000169	train
MSnID0000188	train
MSnID0000189	train
MSnID0000191	train
MSnID0000214	train
MSnID0000225	train
MSnID0000255	train
MSnID0000268	train
MSnID0000269	train
MSnID0000271	train
MSnID0000285	train
MSnID0000009	train
MSnID0000057	train
MSnID0000069	train
MSnID0000088	train
MSnID0000089	train
MSnID0000090	train
MSnID0000091	train
MSnID0000098	train
MSnID0000099	train
MSnID0000100	train
MSnID0000104	train
MSnID0000106	train
MSnID0000108	train
MSnID0000120	train
MSnID0000123	train
MSnID0000124	train
MSnID0000145	train
MSnID0000149	train
MSnID0000156	train
MSnID0000192	train
MSnID0000218	train
MSnID0000226	train
MSnID0000227	train
MSnID0000240	train
MSnID0000241	train
MSnID0000245	train
MSnID0000260	train
MSnID0000279	train
MSnID0000280	train
MSnID0000040	train
MSnID0000042	train
MSnID0000055	train
MSnID0000056	train
MSnID0000064	train
MSnID0000066	train
MSnID0000071	train
MSnID0000072	train
MSnID0000073	train
MSnID0000074	train
MSnID0000083	train
MSnID0000101	train
MSnID0000107	train
MSnID0000148	train
MSnID0000167	train
MSnID0000171	train
MSnID0000172	train
MSnID0000175	train
MSnID0000177	train
MSnID0000178	train
MSnID0000179	train
MSnID0000181	train
MSnID0000221	train
MSnID0000228	train
MSnID0000230	train
MSnID0000267	train
MSnID0000270	train
MSnID0000273	train
MSnID0000282	train
MSnID0000003	train
MSnID0000004	train
MSnID0000025	train
MSnID0000026	train
MSnID0000027	train
MSnID0000028	train
MSnID0000031	train
MSnID0000035	train
MSnID0000039	train
MSnID0000044	train
MSnID0000086	train
MSnID0000092	train
MSnID0000117	train
MSnID0000119	train
MSnID0000125	train
MSnID0000131	train
MSnID0000142	train
MSnID0000144	train
MSnID0000176	train
MSnID0000180	train
MSnID0000200	train
MSnID0000201	train
MSnID0000211	train
MSnID0000231	train
MSnID0000233	train
MSnID0000237	train
MSnID0000257	train
MSnID0000258	train
MSnID0000005	train
MSnID0000006	train
MSnID0000015	train
